Beruf,Berufsgruppe,Konfidenz
Anwalts-Bürovorst.,sonstige,auto
Anwaltsgeh.,sonstige,auto
Anwaltssekr.,sonstige,auto
Anwärter,sonstige,auto
Anzeichner,industrie,auto
Anzeigenannahme,sonstige,auto
Anzeigenleit.,sonstige,auto
Anzeigenvertr.,sonstige,auto
Apoth.,sonstige,auto
Apoth. Gehilfe,sonstige,auto
Apothek.,sonstige,auto
Apothekbes.,sonstige,auto
Apotheke,sonstige,auto
Apothekenbesitz.,sonstige,auto
Apothekenbesitzer,akademisch,auto
Apothekenbesrin.,sonstige,auto
Apothekenhelf.,sonstige,auto
Apothekenverw.,sonstige,auto
Apothekenverwalt.,sonstige,auto
Apotheker,akademisch,auto
"Apotheker, Dorotheen-Apotheke",akademisch,auto
"Apotheker, Engel-Drogerie",akademisch,auto
Apothekerassist.,akademisch,auto
Apothekerin,akademisch,auto
Apothekerww.,akademisch,auto
Apparatebau,sonstige,auto
Apparatenwärt.,sonstige,auto
Apparatenwärter,sonstige,auto
Apparatewärt.,sonstige,auto
Apparatewärter,sonstige,auto
Appretur-Leiter,sonstige,auto
Appreturen,sonstige,auto
Arbeietr,sonstige,auto
Arbeit,sonstige,auto
Arbeit.-,sonstige,auto
Arbeite,sonstige,auto
Arbeiter,industrie,auto
Arbeiterin,sonstige,auto
Arbeitersekr.,sonstige,auto
Arbeitersekretär,sonstige,auto
Arbeitrin,sonstige,auto
Arbeitrin.,sonstige,auto
Arbeitsamt-Direktor,verwaltung,auto
Arbeitsvermittl.,sonstige,auto
Arbeitsvermittler,sonstige,auto
Arbtrin.,sonstige,auto
Architekt,akademisch,auto
Architekt B. D. A.,akademisch,auto
Architekt B.D.A.,akademisch,auto
Architekt M. d. R. d. b. R. u. beeid. Sachverst.,akademisch,auto
Architekt a. D.,akademisch,auto
Architekt i. R.,akademisch,auto
Architekt und Beeid. Bausachverständiger,akademisch,auto
"Architekt, B. D. A.",akademisch,auto
"Architekt, B.D.A.",akademisch,auto
"Architekt, B.D.A., Mitglied d. Reichskammer d. bildenden Künste",akademisch,auto
"Architekt, Diplom Ingenieur",akademisch,auto
"Architekt, Mitglied d. Reichkammer d. bildenden Künste",akademisch,auto
"Architekt, Mitglied d. Reichsk. d. Bild. Künste, Büro f. Architektur u. Bauleitung",akademisch,auto
"Architekt, Mitglied d. Reichsk. d. Bildenden Künste",akademisch,auto
"Architekt, Mitglied d. Reichsk. d. bild. Künste",akademisch,auto
"Architekt, Mitglied d. Reichskammer d. Bildend. Künste",akademisch,auto
