Beruf,Berufsgruppe,Konfidenz
Gerichts Ober Vollzugs Beamter,verwaltung,auto
Gerichts Referend.,sonstige,auto
Gerichts Referendar,sonstige,auto
Gerichts Referendarin,sonstige,auto
Gerichts Sekretär,verwaltung,auto
Gerichts Sekretär a. D.,verwaltung,auto
Gerichts Vollziehungs,verwaltung,auto
Gerichts Vollzugs,verwaltung,auto
Gerichts Vollzugs Beamter,verwaltung,auto
Gerichts-Assessor,akademisch,auto
Gerichtsassess.,sonstige,auto
Gerichtsassess. a. D.,sonstige,auto
Gerichtsassessor,akademisch,auto
Gerichtsbeamt.,sonstige,auto
Gerichtsdien.,sonstige,auto
Gerichtsdien. a. D.,sonstige,auto
Gerichtskanzlei-Sekr. a. D.,verwaltung,auto
Gerichtskassenvollzieh.,sonstige,auto
Gerichtskassenvollzieher,sonstige,auto
Gerichtssekr.,sonstige,auto
Gerichtsvertret.,sonstige,auto
Gerichtsvollz. Anwärter,sonstige,auto
Gerichtsvollzieh.,sonstige,auto
Gerwerbeob. Kontrolleur,verwaltung,auto
Gerüstbauarb.,sonstige,auto
Gerüstbauer,sonstige,auto
Gesanglehr.,sonstige,auto
Gesanglehrerin,bildung,auto
Gesangslehrerin,bildung,auto
Gesangsmstr.,sonstige,auto
Gesangspädagoge,sonstige,auto
Gesangspädagogin,sonstige,auto
Gesch.-Inabrin.,sonstige,auto
Geschinhabrin.,sonstige,auto
Geschäfsführ.,sonstige,auto
Geschäfts Führ,sonstige,auto
Geschäfts Führer,sonstige,auto
Geschäfts Führin,sonstige,auto
Geschäfts Führin.,sonstige,auto
Geschäfts Inhab.,sonstige,auto
Geschäfts Inhaber,handel,auto
Geschäfts Inhaberin,handel,auto
Geschäfts Inhabrin,sonstige,auto
Geschäfts Inhabrin.,sonstige,auto
Geschäfts Leiterin,sonstige,auto
Geschäfts Leitrin.,sonstige,auto
Geschäfts Reisender,handel,auto
Geschäftseinrichtungen,sonstige,auto
Geschäftsf.,sonstige,auto
Geschäftsf. d. Kunststein- u. Waschkesselfbrk. Knüppel G. m. b. H.,sonstige,auto
Geschäftsführer,handel,auto
Geschäftsführer Aspirant,handel,auto
Geschäftsführer a. D.,handel,auto
Geschäftsführer d. Verkehrs-Verein,handel,auto
Geschäftsführer der Provinzial-Feuer- u. Lebensvers. Anst. der Rheinprovinz,handel,auto
"Geschäftsführer für die Firma H. Schu & Co., G.m.b.H., beeidigter Sachverständiger d. Industrie- u. Handelskammer",handel,auto
Geschäftsführerin,handel,auto
Geschäftsführin.,sonstige,auto
Geschäftsgeh.,sonstige,auto
Geschäftsinh.,sonstige,auto
Geschäftsinhaber,handel,auto
Geschäftsinhaberin,handel,auto
Geschäftsinhabrin,sonstige,auto
Geschäftsleit.,sonstige,auto
"Geschäftsleiter, Direktor",verwaltung,auto
Geschäftsleiterin,sonstige,auto
Geschäftsleitr.,sonstige,auto
Geschäftsleitrin.,sonstige,auto
Geschäftsreisender,handel,auto
Geschäftsst. Leiter,sonstige,auto
Geschäftsteilh.,sonstige,auto
Geschätfsinhabrin.,sonstige,auto
Gesenkschmied,sonstige,auto
Gesteinhauer,sonstige,auto
Gesteinshauer,sonstige,auto
Gesundheitsaufseh.,sonstige,auto
Getreide,sonstige,auto
Getreidehdlg.,sonstige,auto
Gewandmstr.,sonstige,auto
Gewerbe Lehrer,bildung,auto
Gewerbe Lehrerin,bildung,auto
Gewerbe Ober Lehrer,bildung,auto
Gewerbe Ober Lehrerin,bildung,auto
Gewerbe Ober Schullehrerin,bildung,auto
Gewerbe Rat,sonstige,auto
Gewerbe-Ob. Lehrerin,bildung,auto
Gewerbe-Oberlehrer,sonstige,auto
Gewerbe-Oberlehrerin,bildung,auto
Gewerbe-Pberlehr.,sonstige,auto
Gewerbe-Schullehr.,sonstige,auto
Gewerbeassessor,akademisch,auto
Gewerbeassessor a. D.,akademisch,auto
Gewerbeleherin,sonstige,auto
Gewerbelehr.,sonstige,auto
Gewerbelehrer,sonstige,auto
Gewerbelehrerin,bildung,auto
Gewerbelehrin.,sonstige,auto
Gewerbeob. Lehrer,bildung,auto
Gewerbeob. Lehrerin,bildung,auto
Gewerbeob. Lehrin.,sonstige,auto
Gewerbeober-Lehrer,bildung,auto
Gewerbeoberkontroll.,sonstige,auto
Gewerbeoberlehrer,sonstige,auto
Gewerbeoberlehrerin,bildung,auto
Gewerberat,sonstige,auto
Gewerberat i. R.,sonstige,auto
Gewerbeschuldirektor a. D.,bildung,auto
Gewerbeschullehr.,sonstige,auto
Gewerblerin,sonstige,auto
Gewerksch. Beamter,verwaltung,auto
Gewerksch. Sekretär,verwaltung,auto
Gewerkschaftsangest.,sonstige,auto
Gewerkschaftsbeamter,sonstige,auto
Gewerkschaftssekretär,sonstige,auto
Gewindeschneid.,sonstige,auto
Gewindeschneider,industrie,auto
Gewürz-Vertr.,sonstige,auto
Gewürze,sonstige,auto
Gewürzgroßhdlg.,sonstige,auto
Gewürzhdlg.,sonstige,auto
"Gg., Facharzt f. Harnleiden",sonstige,auto
Giesebrechtstraße 63,sonstige,auto
Gieß.,sonstige,auto
Gießer,industrie,auto
Gießereiarb.,sonstige,auto
Gießmstr.,sonstige,auto
Gipser,sonstige,auto
"Glas-, Porzellan- u. Haushaltswaren",sonstige,auto
"Glas-, Porzellan- und Haushaltswaren",sonstige,auto
Glas-Reinigungs-Institut,sonstige,auto
Glasarbeit.,sonstige,auto
Glasarbeiter,industrie,auto
Glasbläser,industrie,auto
Glasbläserei,industrie,auto
Glasbläserr,industrie,auto
Glaser,industrie,auto
Glasermstr.,industrie,auto
Glashüttenarb.,bergbau,auto
Glasm.,sonstige,auto
Glasmach..,sonstige,auto
Glasmacher,industrie,auto
Glasmachermstr.,industrie,auto
Glasmaler,sonstige,auto
Glasmalerei,sonstige,auto
Glasmstr.,sonstige,auto
Glasreinig.,sonstige,auto
Glasreinig. Unternehmer,handel,auto
Glasreiniger,sonstige,auto
Glasreinigung,sonstige,auto
Glasreinigungsinst.,sonstige,auto
Glasreinigungsinstitut,sonstige,auto
Glasschleif.,sonstige,auto
Glasschleifer,sonstige,auto
Glasschmelzer,bergbau,auto
Glasschneid.,sonstige,auto
Glasschneider,industrie,auto
Glassortierer,sonstige,auto
Glassätzerei,sonstige,auto
Glastechn.,sonstige,auto
Gleisarb.,sonstige,auto
Glückauf-Apotheke,sonstige,auto
Glüher,sonstige,auto
Goldarb.,sonstige,auto
Goldschläger,sonstige,auto
Goldschm.,sonstige,auto
Goldschmied,sonstige,auto
Goldschmiede u. Graveurwerkstätten,sonstige,auto
Goldschmiedemstr.,sonstige,auto
Goldschmiedemstrin.,sonstige,auto
Goldw.,sonstige,auto
Goldwaren-Händler,handel,auto
Gothaer Versicherungs-Banken,sonstige,auto
Grabdenkmäl.,sonstige,auto
Grabdenkmäler,sonstige,auto
Grabmalkunst,sonstige,auto
Grabpflege,sonstige,auto
Grabsteingesch.,sonstige,auto
Graph.,sonstige,auto
Graph. Kunst- u. Klischee-Anst.,sonstige,auto
Graphiker,sonstige,auto
Graphikerin,sonstige,auto
Graveur,sonstige,auto
Graveurmstr.,sonstige,auto
Gravieranst.,sonstige,auto
Gravieranstalt,sonstige,auto
Groß-Garagen,sonstige,auto
Großagenturen,sonstige,auto
Großbäckerei,gastro,auto
Großhandel in Landesprodukten,sonstige,auto
Großhandelsvertr.,sonstige,auto
Großhandelsvertret.,sonstige,auto
Großhandelsvertreter,handel,auto
Großhdl.,sonstige,auto
Großhdler.,sonstige,auto
Großkaufm.,sonstige,auto
Großschlachterei,sonstige,auto
Großsohlerei,sonstige,auto
Großzylinderschleiferei,sonstige,auto
Grubenaufseh.,sonstige,auto
Grubenbeamter,bergbau,auto
Grubenbeamter a. D.,bergbau,auto
Grubeninspekt.,sonstige,auto
Grubeninspekt. a. D.,sonstige,auto
Grubenkontroll.,sonstige,auto
Grubenlok. Führer,sonstige,auto
Grubenlokführ.,sonstige,auto
Grubenmaschinist,industrie,auto
Grubenschlosser,bergbau,auto
Grubensteig.,sonstige,auto
Grubensteiger,bergbau,auto
Grubensteiger a. D.,bergbau,auto
Grubentechn.,sonstige,auto
Grubenverwalt.,sonstige,auto
Grundiermstr.,sonstige,auto
Grundstücksmakler,sonstige,auto
Gruppenführer,verwaltung,auto
Gruppensekr.,sonstige,auto
Gruppenvorstand,sonstige,auto
Gruppenvorsteh. a. D.,sonstige,auto
Gummi- u. Asbestwr.-Großhdlf.,sonstige,auto
Gummi-Spezialhaus,sonstige,auto
Gummiabsätzevertrieb,sonstige,auto
Gummiwr.,sonstige,auto
Gurtler,sonstige,auto
"Gust., Hauptwachtmeister",industrie,auto
"Gust., kaufmännischer Angestellter",handel,auto
"Gustav, Kriminal Assistent",militär,auto
"Gustav, Stadtbeamt.",sonstige,auto
Gutsbesitzer,handel,auto
Gutsbesrin.,sonstige,auto
Gutsinspekt.,sonstige,auto
Gutspächter,sonstige,auto
Gutspächterin,sonstige,auto
Gutsverw.,sonstige,auto
Gutsverwalt.,sonstige,auto
Gutzputzer,sonstige,auto
Gußhauer,sonstige,auto
Gußkontrolleur,verwaltung,auto
Gußmach.,sonstige,auto
Gußnachseh.,sonstige,auto
Gußprüfer,sonstige,auto
Gußputz,sonstige,auto
Gußputzer,industrie,auto
Gußschleifer,sonstige,auto
Gußzeichn.,sonstige,auto
Gußzeichner,sonstige,auto
Gymnasial-Musiklehrer,bildung,auto
Gymnasiallehr.,sonstige,auto
Gymnasiallehrer,akademisch,auto
Gymnast. Lehrerin,bildung,auto
Gymnastik,sonstige,auto
Gymnastiklehr.,sonstige,auto
Gymnastiklehrerin,bildung,auto
Gymnastiklehrin,sonstige,auto
Gymnastikschule,sonstige,auto
Gährmstr.,sonstige,auto
Gärnter,sonstige,auto
Gärtner,industrie,auto
Gärtnerei,industrie,auto
Gärtnereiarb.,industrie,auto
Gärtnereibes.,industrie,auto
Gärtnereibetr.,industrie,auto
Gärtnermeistrin.,industrie,auto
Gärtnre,sonstige,auto
Gürtler,sonstige,auto
Gürtlermstr.,sonstige,auto
Güterboden-Arbeiter,industrie,auto
Güterbodenarbeit.,industrie,auto
Güterbodenarbeiter,industrie,auto
Güterbodenvorarb.,industrie,auto
Gütertransport,sonstige,auto
Gütervorsteh.,sonstige,auto
Gütervorsteh. a. D.,sonstige,auto
H.,sonstige,auto
H. Betriebs Assistent,sonstige,auto
Haarpflege-Salon,sonstige,auto
Hafenarb.,sonstige,auto
Hafenarbeit.,sonstige,auto
Hafenarbeiter,sonstige,auto
Hafenmstr.,sonstige,auto
Hafenvorarb.,sonstige,auto
Haldgsgeh.,sonstige,auto
Hallenmeister,industrie,auto
Hallenmeister a. D.,industrie,auto
Hallenverwalt.,sonstige,auto
Hallenwärt.,sonstige,auto
Hammerarb.,sonstige,auto
Hammerführ.,sonstige,auto
Hammerführer,sonstige,auto
Hammergeh.,sonstige,auto
Hammermasch.,sonstige,auto
Hammermaschinist,industrie,auto
Hammerschmid,sonstige,auto
Hammerschmied,sonstige,auto
Handarb.,sonstige,auto
Handarbeiten,sonstige,auto
Handarbeiter,sonstige,auto
Handarbeitsgesch.,sonstige,auto
Handarbeitslehrerin,bildung,auto
Handarbeitslehrerin a. D.,bildung,auto
Handelsagent,sonstige,auto
Handelsbevollm.,sonstige,auto
Handelsbevollmächt.,sonstige,auto
Handelsbevollmächtigt.,sonstige,auto
Handelsbevollmächtigter,sonstige,auto
Handelsfrau,sonstige,auto
Handelsfrl.,sonstige,auto
Handelsgeh.,sonstige,auto
Handelsgehilfin,sonstige,auto
Handelsgärtn.,sonstige,auto
Handelskammer-Dezernent,sonstige,auto
Handelslehrer,akademisch,auto
Handelsmann,handel,auto
Handelsob. Lehrer,bildung,auto
Handelsoberlehrer,sonstige,auto
Handelsredakt.,sonstige,auto
Handelsredakteur,sonstige,auto
Handelsschullehrerin,bildung,auto
Handelsuntern.,sonstige,auto
Handelsvertreter,handel,auto
Handelsvertreter in Eisenwaren u. Baubeschlägen,handel,auto
Handelsvertretr.,sonstige,auto
Handelsvertretungen,sonstige,auto
Handelvertret.,sonstige,auto
Handklöppeleien,sonstige,auto
Handl. Bevollm.,sonstige,auto
Handl. Gehilfe,sonstige,auto
Handlanger,industrie,auto
Handlg. Gehilfe,sonstige,auto
Handlgeh.,sonstige,auto
Handlggeh.,sonstige,auto
Handlgs.-Geh.,sonstige,auto
Handlgsbevollm.,sonstige,auto
Handlgsbevollmächt.,sonstige,auto
Handlgsbevollmächtigt.,sonstige,auto
Handlgsbevollmächtigte,sonstige,auto
Handlgsgehilfe,sonstige,auto
Handlgsvevollmächt.,sonstige,auto
Handlsgeh.,sonstige,auto
Handlung,sonstige,auto
Handlungs Bevllmächt.,sonstige,auto
Handlungs Bevollmächt.,sonstige,auto
Handlungs Bevollmächtigt.,sonstige,auto
Handlungs Bevollmächtigter,sonstige,auto
Handlungs Gehilfe,sonstige,auto
Handlungsbevollm.,sonstige,auto
Handlungsbevollmächt.,sonstige,auto
Handlungsbevollmächtigt.,sonstige,auto
Handlungsbevollmächtigter,sonstige,auto
Handlungsbevollmächtigter der Firma Fried. Krupp AG,sonstige,auto
Handlungsgeh.,sonstige,auto
Handlungsgehilfe,handel,auto
Handschuhfabrikation,sonstige,auto
Handschuhm.,industrie,auto
Handstickerei,sonstige,auto
Handweberei,sonstige,auto
Handwerker,sonstige,auto
"Hans, Regierungs Vizepräsid. i. R.",sonstige,auto
"Hans, Wirtschafts-Treuhänder",sonstige,auto
"Hans-Henning, Kaufmann",handel,auto
Hansa-Haus,sonstige,auto
Hansahaus,sonstige,auto
Harkortstraße,sonstige,auto
Harmonistin,sonstige,auto
Haudelsm.,sonstige,auto
Hauderei,sonstige,auto
Haudereibes.,sonstige,auto
Haudereibetr.,sonstige,auto
Hauderer,sonstige,auto
Hauer,bergbau,auto
Hauptbuchhalt.,sonstige,auto
Hauptgeschäftsführ.,sonstige,auto
Hauptgeschäftsst.,sonstige,auto
Hauptgeschäftsstelle,sonstige,auto
Hauptkassenführer a. D.,sonstige,auto
Hauptkassierer,verwaltung,auto
Hauptkassierer i. R.,verwaltung,auto
Hauptlehrer,bildung,auto
Hauptlehrer a. D.,bildung,auto
Hauptlehrer i. R.,bildung,auto
Hauptlehrerin,bildung,auto
Hauptmann,militär,auto
Hauptmann a. D.,militär,auto
"Hauptmann a. D., Prokurist",verwaltung,auto
Hauptmann d. Landespolizei,militär,auto
Hauptschriftleit.,sonstige,auto
Hauptschriftleiter,verwaltung,auto
Hauptwachmstr.,sonstige,auto
Hauptwachtmeister,industrie,auto
Hauptwachtmeister a. D.,industrie,auto
Hauptwachtmeister i. R.,industrie,auto
Haus- u. Küchengeräte,sonstige,auto
"Haus- u. Küchengeräte, Schlosser",industrie,auto
Hausangest.,sonstige,auto
Hausangestellt.,sonstige,auto
Hausbefrin.,sonstige,auto
Hausbesitz.,sonstige,auto
Hausbesitzer,haushalt,auto
Hausbesitzerin,haushalt,auto
Hausbesitzrin,sonstige,auto
Hausdame,sonstige,auto
Hausdiener,industrie,auto
Hausgeh.,sonstige,auto
Hausgehilfin,sonstige,auto
Haushaltgsartikel,sonstige,auto
Haushaltgswr.,sonstige,auto
Haushaltswr.,sonstige,auto
Haushaltungslehrerin,bildung,auto
Haushaltungswaren,sonstige,auto
Haushaltungswr.,sonstige,auto
Haushaltwr.,sonstige,auto
Haushält.,sonstige,auto
Haushälterin,sonstige,auto
Haushältrin,sonstige,auto
Haushältrin.,sonstige,auto
Hausierer,sonstige,auto
Hausinsp.,sonstige,auto
Hausinspekt.,sonstige,auto
Hauslehr.,sonstige,auto
Hausmakler,sonstige,auto
Hausmeister,haushalt,auto
Hausmeister a. D.,haushalt,auto
"Hausmeister, Kronprinzenstr",haushalt,auto
Hausmeisterin,haushalt,auto
Hausmeistrin,sonstige,auto
Hausmst.,sonstige,auto
Hausmstrin,sonstige,auto
Hausschuh-Fabrik,sonstige,auto
Hausverw.,sonstige,auto
Hausverwalt.,sonstige,auto
Hausverwalter,verwaltung,auto
Hausverwaltg.,sonstige,auto
Hausverwaltung,verwaltung,auto
Hausverwaltungen,verwaltung,auto
Hausverwlt.,sonstige,auto
Hauswart,industrie,auto
Hauswirtschaftslehrerin,bildung,auto
Haut- und Harnleiden,sonstige,auto
Hautarzt,sonstige,auto
Hdlg.,sonstige,auto
Hdlgs. Gehilfe,sonstige,auto
Hdlgs. Prokurist,verwaltung,auto
Hdlgs.-Geh.,sonstige,auto
Hdlgsbevollmächtigt.,sonstige,auto
Hdlgsgehilfe,sonstige,auto
Hebamme,sozial,auto
Hebammenschw.,sozial,auto
Hebammenschwest.,sozial,auto
Hebammenschwester,sozial,auto
Hefegroßhdlg.,sonstige,auto
Hefeverteiler,sonstige,auto
Hegemstr.,sonstige,auto
Heilanstalt,sonstige,auto
Heilbad,sonstige,auto
Heilbadeanstalt,sonstige,auto
Heildiener,sozial,auto
Heildienerin,sozial,auto
Heilgehilfe,sozial,auto
Heilgymnastik,sonstige,auto
Heilinstitut,sonstige,auto
Heilinstitut u. Vertreter Doktor Försters Heilapparat,akademisch,auto
Heilkund.,sonstige,auto
Heilkundige,sonstige,auto
Heilkundiger,sonstige,auto
Heilmagnetopath,sonstige,auto
Heilprakt.,sonstige,auto
Heilpraktik.,sonstige,auto
Heilpraktikant,sonstige,auto
Heilpraktiker,sonstige,auto
"Heilpraktiker, Magnetopath",sonstige,auto
Heilpraktikerin,sonstige,auto
Heilpraxis,sonstige,auto
Heilsarmee-Offiz.,sonstige,auto
Heilsarmee-Offizier,militär,auto
Heimarbeitrin.,sonstige,auto
Heimverwalt.,sonstige,auto
"Heinr., Architekt",akademisch,auto
"Heinr., Baugewerkmstr.",sonstige,auto
"Heinr., Bergmann",bergbau,auto
"Heinr., Drogerie",sonstige,auto
"Heinr., Invalide",haushalt,auto
"Heinr., Kaufmann",handel,auto
"Heinr., Sattlerei",industrie,auto
"Heinrich, Verwaltungs Sekretär",verwaltung,auto
Heitzer,sonstige,auto
Heizer,verkehr,auto
Heizgs. Monteur,industrie,auto
Heizgschloss.,sonstige,auto
Heizgsmont.,sonstige,auto
Heizungs- und Lüftungsanlagen,sonstige,auto
"Heizungsanlagen, Sanitäre Installation, Pumpenanlagen",sonstige,auto
Heizungsgeh.,sonstige,auto
Heizungshelfer,sonstige,auto
Heizungsingen.,sonstige,auto
Heizungsinstallateur,industrie,auto
Heizungsm.,sonstige,auto
Heizungsmonteur,industrie,auto
Heizungsschloss.,sonstige,auto
Heißmangel,industrie,auto
Heißmangelbetr.,industrie,auto
Helbingstr. 74 Erdg,sonstige,auto
Helfer,sonstige,auto
Helferin,sonstige,auto
Hemmschuhleg.,sonstige,auto
Hemmschuhleger,sonstige,auto
Heoßmangel,sonstige,auto
"Herbert, Diplom Ingenieur",akademisch,auto
"Herbert, Kaufmann",handel,auto
Herde,sonstige,auto
"Herde, Öfen",sonstige,auto
"Herm., Direktor",verwaltung,auto
"Herm., Handlungsbevollm",sonstige,auto
"Herm., Pensionär",haushalt,auto
"Herm., Rektor",bildung,auto
"Hermann, Apothekenbesitzer",akademisch,auto
"Hermann, Geschäftsführer",handel,auto
Hermann-Göring-Str.,sonstige,auto
Herr.-u. Damenmodeart.,sonstige,auto
Herren- u. Damenmoden,sonstige,auto
Herren- und Damenfriseur,sonstige,auto
Herren-Kleiderfbrk.,sonstige,auto
Herren-Maßgesch.,sonstige,auto
Herren-Schneider,industrie,auto
Herrenart.,sonstige,auto
Herrenartikel,sonstige,auto
Herrenausstattungen,sonstige,auto
Herrenbekleid.,sonstige,auto
Herrenbekleidg.,sonstige,auto
Herrenbekleidung,sonstige,auto
Herrenfris.,sonstige,auto
Herrenfriseur,sonstige,auto
Herrenfriseurgesch.,sonstige,auto
Herrenkleidermach.,sonstige,auto
Herrenkleidg.,sonstige,auto
Herrenkleidung,sonstige,auto
Herrenkonf.,sonstige,auto
Herrenkonfekt.,sonstige,auto
Herrenkonfektion,sonstige,auto
Herrenkonfektionsgesch.,sonstige,auto
Herrenkonfektionsgeschäft,sonstige,auto
Herrenmaßgesch.,sonstige,auto
Herrenmod.,sonstige,auto
Herrenmodeartikel,sonstige,auto
Herrenmoden,sonstige,auto
Herrensalon,sonstige,auto
Herrenschneid.,sonstige,auto
Herrenschneider,industrie,auto
Herrenschneiderei,industrie,auto
Herrenschneidermstr.,industrie,auto
Herrenstoffe,sonstige,auto
Herrenwäsche,sonstige,auto
Herrnkonfekt.,sonstige,auto
"Hertha, Kinderärztin",akademisch,auto
"Hespermühle, Getreide, Mehl, Futter u. Düngemittel, Holzsägerei",sonstige,auto
Hifsarb.,sonstige,auto
Hilfarb.,sonstige,auto
Hilfpostschaffn.,sonstige,auto
Hilfs-Betr. Assistent,sonstige,auto
Hilfs-Lok. Führer,sonstige,auto
Hilfs-Stellwerksaufseh.,sonstige,auto
Hilfsankerwickler,sonstige,auto
Hilfsarbeit.,sonstige,auto
Hilfsarbeiter,industrie,auto
Hilfsarbww.,sonstige,auto
Hilfsassess.,sonstige,auto
Hilfsassist.,sonstige,auto
Hilfsaufseh.,sonstige,auto
Hilfsaufseher,industrie,auto
Hilfsbahnarb.,sonstige,auto
Hilfsbahnwärt.,sonstige,auto
Hilfsbauarb.,sonstige,auto
Hilfsbeamt.,sonstige,auto
Hilfsbetrieb Assistent,sonstige,auto
Hilfsbetriebsassist.,sonstige,auto
Hilfsbrenner,sonstige,auto
Hilfschleifer,sonstige,auto
Hilfsdreh.,sonstige,auto
Hilfsdrucker,sonstige,auto
Hilfsformer,sonstige,auto
Hilfsfördermasch.,sonstige,auto
Hilfsgärtner,industrie,auto
Hilfshandarbeitslehrerin,bildung,auto
Hilfsheizer,sonstige,auto
Hilfshobler,sonstige,auto
Hilfskernmacherin,industrie,auto
Hilfsklempner,sonstige,auto
Hilfsküster,sonstige,auto
Hilfslademstr.,sonstige,auto
Hilfsladeschaffn.,sonstige,auto
Hilfslandmesser,akademisch,auto
Hilfslehr.,sonstige,auto
Hilfslehrerin,bildung,auto
Hilfsmasch.,sonstige,auto
Hilfsmaschinist,industrie,auto
Hilfsmaurer,sonstige,auto
Hilfsmaßprüfer,industrie,auto
Hilfsmeister,industrie,auto
Hilfsmeister a. D.,industrie,auto
Hilfsmont,sonstige,auto
Hilfsmont.,sonstige,auto
Hilfsmonteur,industrie,auto
Hilfspol. Beamter,verwaltung,auto
Hilfspostill.,sonstige,auto
Hilfspostschaffn.,sonstige,auto
Hilfspostschaffner,verkehr,auto
Hilfsprediger,bildung,auto
Hilfsrevis.,sonstige,auto
Hilfsrohrleg.,sonstige,auto
Hilfsrottenführ.,sonstige,auto
Hilfsschaffn.,sonstige,auto
Hilfsschloss.,sonstige,auto
Hilfsschlosser,sonstige,auto
Hilfsschmied,sonstige,auto
Hilfsschreiber,sonstige,auto
Hilfsschul-Hauptlehrer,bildung,auto
Hilfsschul. Hauptlehrer,bildung,auto
Hilfsschulhauptlehrer,bildung,auto
Hilfsschullehr.,sonstige,auto
Hilfsschullehrer,sonstige,auto
Hilfsschullehrer a. D.,sonstige,auto
Hilfsschullehrerin,bildung,auto
Hilfssteig.,sonstige,auto
Hilfswachtmeister,industrie,auto
Hilfswagenaufseh.,sonstige,auto
Hilfswagenmstr.,sonstige,auto
Hilfsweichensteller,verkehr,auto
Hilfsweichenwärter,verkehr,auto
Hilfswerkführ.,sonstige,auto
Hilfswerkmstr.,sonstige,auto
Hilfswärt.,sonstige,auto
Hilsfarbeit.,sonstige,auto
Hilsprediger,bildung,auto
Hobler,industrie,auto
Hoch- u. Tiefbaugeschäft,handel,auto
Hochbauarbeiter,industrie,auto
Hochofenarb.,bergbau,auto
Hochofenarbeit.,bergbau,auto
Hohlbohr.,sonstige,auto
Hohlbohrer,sonstige,auto
Hohlsaumanst.,sonstige,auto
Hohlsaumstickerei,sonstige,auto
Holz- u. Baumaterialienhdlg.,sonstige,auto
Holzagenturen,sonstige,auto
Holzarbeit.,sonstige,auto
Holzarbeiter,industrie,auto
Holzaufseher,industrie,auto
Holzbeizungen,sonstige,auto
Holzbildhauer,sonstige,auto
Holzgroßhandlung,handel,auto
Holzgroßhandlung u. Sägewerk,handel,auto
Holzgroßhdlg.,sonstige,auto
Holzhandlung,handel,auto
Holzhdl.,sonstige,auto
Holzhändler,sonstige,auto
Holzlagerverwalter,verwaltung,auto
Holzleisten,sonstige,auto
Holzmal.,sonstige,auto
Holzmaler,sonstige,auto
Holzmeister,bergbau,auto
Holzmeister a. D.,bergbau,auto
Holzschneider,industrie,auto
Holzschnitzerei,sonstige,auto
Holzschuhmacherei,industrie,auto
Holzverwalt.,sonstige,auto
Holzwr.,sonstige,auto
Homöopath,sonstige,auto
Homöopath.,sonstige,auto
Homöopath. Arzt,akademisch,auto
Homöopathie,sonstige,auto
Homöopathie u. Lichtbehandl.,sonstige,auto
Horiz. Bohrer,industrie,auto
Hotel,sonstige,auto
Hotel Burghof,sonstige,auto
"Hotel Deutsches-Haus, Verkehrslokal der N.S.D.A.P",sonstige,auto
Hotel-Rest.,sonstige,auto
Hotel-Restaur.,sonstige,auto
Hotel-Restaurant,sonstige,auto
Hotelangestellter,verwaltung,auto
Hotelbeamt.,sonstige,auto
Hotelbes.,sonstige,auto
"Hotelbesitzer, Rheingold-Bar",sonstige,auto
Hotelbesrin,sonstige,auto
Hotelbesrin.,sonstige,auto
Hoteldien.,sonstige,auto
Hoteldien. i. R.,sonstige,auto
Hoteldiener,sonstige,auto
Hoteldirekt.,sonstige,auto
Hoteldirektor,bildung,auto
Hotelier,sonstige,auto
Hotelpförtner,industrie,auto
Hotelportier,industrie,auto
"Hubert, Rentner",haushalt,auto
Hufbeschl.,sonstige,auto
Hufbeschlag u. Fahrzeugbau,sonstige,auto
Hufschmied,sonstige,auto
Hufschmiede,sonstige,auto
Hufschmiedemstr.,sonstige,auto
"Hugo, Schmied",industrie,auto
"Hugo, Studienrat",akademisch,auto
Humorist,sonstige,auto
Hutgesch.,sonstige,auto
Hutmach.,sonstige,auto
Hutmacher,sonstige,auto
Hutumpreßanstalt,sonstige,auto
Hypotheken,sonstige,auto
Hypotheken- u. Immobilienmakler,sonstige,auto
Hypothekenmakler,sonstige,auto
Häckselschneiderei,industrie,auto
"Häckselschneiderei, Kraftfutterwerk",industrie,auto
Händler,handel,auto
Händlerin,sonstige,auto
Härter,sonstige,auto
Hühnerfarm,sonstige,auto
Hüte,sonstige,auto
Hüttenarbeit.,bergbau,auto
Hüttenarbeiter,bergbau,auto
Hüttenbeamt.,sonstige,auto
Hüttenbeamter,sonstige,auto
Hüttenbed.,sonstige,auto
Hüttenbedarf,sonstige,auto
Hüttendirekt.,sonstige,auto
Hüttendirekt. a. D.,sonstige,auto
Hüttendirektor,bildung,auto
Hütteningen.,sonstige,auto
Hüttenmstr.,sonstige,auto
Hüttenwärt.,sonstige,auto
"I, Rechtsanwalt",akademisch,auto
I.,sonstige,auto
I. Hauptwachtmeister,industrie,auto
I. Lehrer,bildung,auto
I. Lohnbuchhalter,verwaltung,auto
I. Staatsanwalt.,akademisch,auto
I. Stereotypeur,sonstige,auto
I. Strafanstalt Hauptwachtmeister a. D.,industrie,auto
I. Syndikats d. Handelskammer,verwaltung,auto
I. Wieger,sonstige,auto
"III., Reichtsanw.",sonstige,auto
Ida,sonstige,auto
Ignatiusverl.,sonstige,auto
Immobilien,sonstige,auto
"Immobilien, Hypotheken",sonstige,auto
"Immobilien, Hypotheken, Steuerberatung",sonstige,auto
Immobiliengesch.,sonstige,auto
Immobilienvermittlg.,sonstige,auto
Immonbilien,sonstige,auto
Ina.,sonstige,auto
Inavl.,sonstige,auto
Industrie-Bedarf,sonstige,auto
Industrie-Bedarfsart.,sonstige,auto
Industriebau,sonstige,auto
